-,-,-
--at-
-87172 7.948 40.47
213.867188, -295.166016, 1371.093750
46.875000, -228.271484, 1320.312500
192.382812, -241.455078, 1478.027344
196.777344, -193.603516, 1488.281250
80.078125, -130.126953, 1497.070312
117.187500, -208.740234, 1665.039062
33.691406, -190.673828, 1656.250000
68.847656, -273.193359, 1367.187500
186.035156, -322.998047, 1268.554688
65.917969, -356.201172, 1101.562500
264.648438, -95.458984, 648.925781
75.195312, -8.544922, 510.742188
250.000000, -183.349609, 382.324219
189.453125, -13.916016, 376.953125
-,-,-
-304.931641, -6.591797, 648.925781
-99.853516, -55.908203, 851.074219
-43.212891, -30.029297, 865.234375
-112.548828, -150.146484, 940.429688
28.320312, -143.310547, 1084.472656
-17.822266, -253.662109, 1275.390625
-82.275391, -203.857422, 1174.804688
-33.935547, -168.701172, 1331.054688
-30.517578, -190.185547, 1194.824219
-34.912109, -221.923828, 1223.632812
-69.091797, -229.248047, 1362.304688
-96.923828, -208.740234, 1211.914062
-27.099609, -239.990234, 1489.257812
-50.537109, -80.810547, 1459.472656
12.207031, -168.701172, 1459.960938
1.953125, -338.134766, 1413.085938
172.363281, -266.357422, 1193.847656
117.187500, -287.841797, 998.046875
-,-,-
-347.900391, -241.943359, 650.878906
-378.173828, -212.646484, 760.742188
-350.830078, -269.287109, 759.765625
-225.341797, -193.115234, 1016.601562
-273.681641, -194.580078, 958.007812
-31.982422, -191.650391, 1211.914062
-107.666016, -312.255859, 1338.378906
8.300781, -204.345703, 1300.292969
36.132812, -229.248047, 1315.917969
37.109375, -265.380859, 1068.359375
80.566406, -103.271484, 1124.023438
48.828125, -97.900391, 1250.488281
37.597656, -64.208984, 1320.800781
70.800781, -42.724609, 1662.597656
-20.751953, -104.736328, 1624.023438
18.066406, -185.302734, 1596.679688
85.937500, -286.865234, 1386.718750
45.898438, -295.654297, 1117.675781
127.441406, -216.064453, 991.699219
101.074219, -156.494141, 693.359375
59.570312, -144.775391, 469.726562
-,-,-
-474.365234, -10.498047, 536.132812
-372.802734, -164.306641, 592.285156
-387.451172, -186.279297, 569.824219
-348.388672, -230.224609, 663.085938
-244.873047, -251.708984, 591.796875
-185.791016, -310.791016, 899.902344
-140.380859, -177.978516, 1022.460938
-22.216797, -331.787109, 1230.468750
-9.521484, -339.111328, 1547.851562
6.347656, -140.380859, 1471.679688
-15.869141, -161.376953, 1718.750000
-34.423828, -145.751953, 1730.468750
-78.369141, -198.974609, 1597.656250
27.832031, -230.224609, 1513.671875
18.066406, -121.826172, 1162.109375
142.089844, -156.005859, 1097.656250
169.921875, -197.998047, 955.566406
222.656250, -119.873047, 698.730469
305.664062, -151.123047, 764.648438
238.281250, -5.615234, 554.687500
184.570312, 33.203125, 493.652344
221.679688, -26.611328, 617.187500
-,-,-
-313.720703, -12.939453, 670.410156
-359.130859, -37.841797, 638.671875
-154.541016, -88.134766, 816.406250
-141.357422, -2.685547, 758.300781
-87.646484, -52.490234, 941.406250
64.941406, -64.208984, 1072.265625
-72.998047, -19.287109, 1254.394531
16.113281, -170.654297, 1337.890625
12.207031, -31.494141, 1262.695312
13.183594, 23.437500, 1660.644531
-44.677734, -34.912109, 1351.074219
-7.568359, 23.437500, 1509.277344
-32.470703, 58.105469, 1513.671875
-42.724609, -22.216797, 1577.148438
-75.439453, -78.857422, 1530.761719
40.039062, -66.650391, 1245.117188
153.808594, -127.685547, 1172.851562
160.156250, -183.349609, 971.679688
299.804688, -126.220703, 701.660156
301.757812, -168.701172, 762.695312
368.652344, -114.013672, 530.273438
257.324219, 49.804688, 471.191406
-,-,-
-25.634766, 245.117188, 890.625000
-190.673828, 167.968750, 823.730469
-106.201172, 175.292969, 888.671875
-367.919922, 76.171875, 709.960938
-245.849609, -69.580078, 611.328125
-315.673828, -14.892578, 551.757812
-389.892578, -47.607422, 485.351562
